1647 fc52
 1b1 e966
ea95 f8e8
f3fd 132a
 fc8 1031
137e f48e
f98e ea57
e972  107
fb99 162a
1479  981
 e39 ee6c
f259 edff
eb3b  8f6
 3ce 1638
1689  193
 6f3 ea83
ecd5 f425
efd7  fbf
 b77 137d
15af f981
fee1 e969
e9d2 fbac
f678 1478
119b  e1f
11e9 f248
f701 eb4c
e9b8  3cb
fe5a 168c
1582  6f7
 be1 ecc3
f01f eff1
eca3  b95
 69f 15a4
1693 fec5
 43e e9cb
eb82 f696
f208 11b2
 de1 11dc
14a7 f6d3
fc02 e9ca
e979 fe91
f93a 1584
1340  bc9
 ffe f017
f45c eca4
ea63  6ac
 149 1698
1639  42e
 965 eb73
ee47 f1f7
ee2a  dd2
 940 148c
162a fbeb
 16b e97b
ea63 f938
f445 1355
 fe0  fef
132d f45d
f946 ea8b
e984  161
fbd6 1626
1490  950
 de3 ee3c
f208 ee5e
eb7c  960
 441 1629
1684  141
 6a0 ea74
ecb0 f467
f022  ff3
 baf 1342
158a f936
fe94 e977
e9c7 fbfc
f6c7 149b
11da  de1
11bb f204
f69a eb71
e9b2  443
fec7 169a
1599  68c
 b81 ec9e
eff8 f036
ecb0  bdb
 6e0 158f
1691 fe7e
 3ce e9be
eb63 f6ee
f22c 11d9
 e05 11b2
147f f67e
fba3 e9d3
e971 fedd
f973 159e
136a  b71
 fca efe4
f417 ecc6
ea8d  6f2
 1a1 1675
1638  3c0
 90e eb55
ee2d f235
ee59  df7
 97a 147a
161c fb9d
 102 e977
ea48 f994
f489 138e
102d  fd1
132a f420
f8ff ea8b
e982  1b4
fc3a 1645
14c5  905
 d9f edff
f1c0 ee74
eb86  99a
 467 161b
167d  105
 649 ea60
ec75 f4b9
f057 1040
 c08 1325
156f f8f0
fe2f e96f
e9ab fc5d
f721 14c3
121a  d90
117f f1b0
f648 eb9b
e9e1  489
ff0f 1686
15a9  657
 b3f ec7c
efaf f065
ece9  c2a
 738 1578
1682 fe24
 397 e9c0
eb40 f743
f28a 1222
 e6b 117e
1472 f63b
fb64 e9e4
e978 ff2f
f9e2 15ba
13a7  b3b
 fa3 ef99
f3de ecf5
eaaa  73d
 1f9 1687
166d  36a
 8bb eb0f
edc2 f281
eea1  e71
 9d6 144a
1613 fb64
  cd e963
ea44 f9e7
f4ea 13a1
1063  f73
130c f3bf
f89e ea9f
e97a  20e
fcb2 1659
14de  8a3
 d67 edca
f186 ee9d
eba0  9f9
 4de 161e
1694   87
 601 ea29
ec39 f4e6
f097 107f
 c56 12de
154c f88b
fdd7 e996
e9a9 fcad
f768 14f0
1252  d58
1156 f174
f603 eba9
e9de  4d6
ff83 1689
15c8  5d6
 ae1 ec40
ef6e f0a1
ed17  c71
 792 154a
167c fdcb
 33a e99c
eb03 f77b
f2c9 124d
 e9a 112b
1430 f5f0
fb0e e9f1
e954 ff90
fa14 15f1
13f1  af8
 f52 ef59
f37e ed22
ead0  7b6
 25e 166f
165e  31e
 854 eb05
edaa f2e6
eee1  eac
 a2f 1422
15f5 fae9
  5b e969
ea2c fa42
f539 13d9
10aa  f24
12a7 f364
f845 eada
e98c  270
fd08 1663
1517  834
 d0b ed8f
f144 eef3
ebdf  a4a
 53e 15f2
16ab   39
 594 ea20
ec1a f55c
f0fc 10c7
 caa 12a9
1539 f824
fd7c e97f
e978 fd19
f7d5 151e
1276  d0d
110a f129
f5b1 ebf7
ea06  543
ffed 16a8
15e5  580
 aa3 ec13
ef3f f0ed
ed5e  ca4
 7c4 152a
1671 fd77
 2e8 e994
ead4 f7d7
f311 1292
 efe 10fa
13ff f586
fac0 ea10
e957 ffe4
fa8b 15ea
13f2  a8d
 efb ef1d
f331 ed65
eadf  7fc
 2a2 1680
1677  2cc
 80e eae7
ed7a f326
ef0a  ef0
 a88 1405
15f5 fa8c
ffee e964
ea21 faab
f592 13f7
10e8  ef6
1283 f317
f7f3 ead3
e988  2ca
fd65 1672
1531  7ea
 cb8 ed43
f0ee ef27
ebf9  a98
 57b 15ee
16a9 ffea
 54a ea07
ec04 f5a5
f149 10f0
 cf2 1269
1502 f7d9
fd25 e9a5
e996 fd71
f820 152c
12c3  cb2
10dd f0d9
f557 ec0b
ea21  587
  39 168f
15f1  519
 a4a ebf0
eefa f13c
eda3  d04
 82f 151f
167b fd0e
 297 e989
eacb f81e
f350 12a3
 f1e 10c8
13f0 f555
fa52 ea17
e95e   42
faea 15ef
1415  a2d
 ec3 eeee
f301 ed86
eaed  83f
 30b 1663
1674  259
 7a4 eada
ed49 f36d
ef5d  f40
 ae5 13b8
15cf fa2d
ffa2 e971
ea00 fade
f5c4 1435
112a  eb2
124d f2e9
f7b7 eb1f
e9b0  31b
fd93 167e
1551  7bb
 c89 ed33
f0c9 ef6b
ec3e  acb
 5bf 15ba
1684 ff96
 4f1 e9ff
ebd0 f5f4
f161 113d
 d29 1250
14e9 f798
fcce e9ae
e976 fdce
f873 154f
12dd  c5f
1078 f0b1
f518 ec59
ea2d  5e2
  78 1699
1609  4fd
 a0e ebc9
eeba f17e
edb7  d4d
 88a 14ec
165c fcbd
 236 e97f
ea9a f877
f398 12ee
 f63 1099
13bf f4f3
f9fc ea3d
e967   98
fb2a 1609
1459  9ec
 e82 ee92
f285 edae
eb1d  8ad
 36d 164a
165e  209
 760 eab4
ed27 f3a2
ef7c  f7c
 b28 13b4
15c4 f9e4
ff4d e95f
e9e3 fb48
f61f 1454
1169  e6a
1230 f28c
f750 eb1f
e9ad  364
fe0a 1680
1564  739
 c33 ecfd
f086 ef96
ec66  b09
 622 15b2
1692 ff21
 49c e9cd
ebb0 f643
f1ab 1175
 d82 1225
14d8 f74e
fc8c e9af
e97d fe05
f8c2 1563
131c  c1b
1062 f05e
f4c8 ec68
ea56  636
  ec 1690
1627  484
 9b6 eb9c
ee8f f1b9
ee02  d73
 8cd 14d0
1665 fc78
 1e0 e96b
ea77 f8d2
f3ea 1325
 fc0 1051
137d f4b9
f9be ea5e
e974  109
fbb1 161f
146d  983
 e32 ee7a
f272 edee
eb3e  8e1
 3c4 1642
1682  1b0
 712 ea81
ecd8 f40f
efd1  fba
 b6f 1375
15a4 f999
fef4 e96d
e9ce fb9a
f66a 147a
119f  e33
11f5 f246
f6f2 eb45
e9c2  3c3
fe48 166a
155d  6ff
 bef ecd8
f026 efcc
ec7c  b7e
 68e 15b3
1693 fed3
