fae8  48b
 45d  549
 571 fbdb
fc05 fa67
fa3a  3b7
 378  5da
 600 fcc0
fce9 f9eb
f9bd  2da
 29e  655
 664 fda4
fdd2 f97a
f970  1e6
 1b5  69e
 6ab fe94
fed2 f944
f935   ea
  bb  6cc
 6d0 ff96
ffd2 f924
f92c ffe0
ffac  6dd
 6d7   95
  db f92d
f937 fede
feb2  6bc
 6aa  198
 1d1 f970
f974 fdf8
fdb6  680
 65a  29a
 2bb f9c0
f9d4 fd07
fcc5  610
 5e5  380
 3b0 fa37
fa52 fc2d
fbf6  590
 563  43f
 46e facb
faf6 fb56
fb26  4d5
 4ae  503
 52b fb87
fbb3 fa97
fa8a  414
 3e0  594
 5c6 fc52
fc87 fa0e
fa04  342
 303  625
 655 fd3d
fd73 f9a5
f994  24e
 213  689
 69a fe25
fe6c f96c
f959  158
 119  6be
 6d2 ff2e
ff5e f92a
f92c   60
  1e  6d2
 6e4   28
  5f f925
f930 ff59
ff10  6c5
 6be  136
 169 f93b
f954 fe61
fe1e  6a3
 677  22f
 25c f997
f9b4 fd60
fd2a  639
 622  309
 343 f9f6
fa0c fc84
fc43  5c1
 595  3e8
 423 fa86
fab2 fba9
fb72  51a
 4f4  4b4
 4d9 fb2d
fb5d faeb
fad3  46e
 42d  55f
 58f fbf1
fc28 fa50
fa31  39e
 35d  5f6
 610 fcd2
fd10 f9cb
f9bd  2af
 272  666
 677 fdc4
fdf7 f979
f95e  1c2
 17c  6b6
 6ba feca
ff05 f93a
f92c   c4
  83  6df
 6d4 ffce
fff2 f924
f921 ffb9
ff84  6d1
 6c5   bf
  fb f93a
f949 fec3
fe84  6aa
 69f  1b4
 1f9 f976
f973 fdc6
fd94  671
 64b  2a7
 2eb f9d0
f9ef fce1
fca1  5fb
 5cd  393
 3ca fa50
fa6c fbfe
fbc8  55e
 555  471
 498 fae4
fb18 fb36
fb11  4b1
 489  51e
 559 fba3
fbd8 fa96
fa6d  3ec
 3b9  5c0
 5dc fc77
fcb0 f9fe
f9ec  317
 2d9  622
 64c fd58
fd91 f993
f97c  225
 1ed  68c
 6ac fe4c
fe87 f94b
f940  136
  f6  6cb
 6d2 ff51
ff93 f92d
f923   35
fff0  6d4
 6d5   58
  8d f92c
f939 ff23
fef4  6c0
 6b2  162
 190 f948
f95c fe2d
fdf0  67b
 678  254
 289 f9a6
f9c1 fd46
fcfd  626
 604  33a
 366 fa0f
fa37 fc5b
fc2a  5a3
 578  416
 449 fa9d
fac9 fb7e
fb65  503
 4e0  4cb
 512 fb4a
fb82 fabb
fab0  442
 40a  57b
 5ae fc21
fc51 fa35
fa1e  371
 344  600
 630 fd02
fd32 f9c1
f99d  294
 244  677
 691 fded
fe27 f96a
f95d  19c
 155  6b8
 6b9 fee7
ff2d f92e
f92c   9b
  4b  6d9
 6e4 ffe7
  2b f91e
f929 ff96
ff61  6cc
 6d8   e3
 119 f94b
f95b fe9c
fe54  6ac
 68f  1f1
 20d f993
f991 fd99
fd72  65d
 630  2db
 322 f9db
fa02 fca7
fc7a  5e7
 5c4  3c3
 3f5 fa6a
fa8a fbdf
fba6  545
 519  47e
 4bf fafa
fb43 fb12
fae5  4a7
 46b  54b
 570 fbc2
fc00 fa69
fa4a  3d3
 39c  5ce
 5f7 fcb1
fce4 f9e3
f9cf  2e9
 2b2  655
 667 fd90
fdce f979
f972  1f9
 1b7  6ad
 6af fe7e
fec5 f93a
f933  105
  bf  6c9
 6db ff84
ffbc f923
f91e    e
ffc1  6cb
 6d8   8b
  c5 f936
f933 ff01
feb4  6c8
 6bc  187
 1c9 f967
f96d fe0f
fdc1  67c
 65c  27a
 2b6 f9c4
f9d9 fd0a
fcdc  62b
 5fd  368
 39f fa28
fa49 fc3f
fbf9  581
 55f  437
 470 fac8
