f7f4 1522
 dca 11cc
166d fd80
 981 eb8e
f383 ed3b
e970   dd
f505 139c
 b08 1398
1678   be
 c64 ed31
f682 eb98
e9a1 fd81
f224 11bb
 7fa 150e
162d  420
 f0f ef43
f986 ea5b
ea1b fa4f
efa9  fa7
 4d6 1608
154a  756
115a f1ad
fcce e9a5
eb2b f719
eda0  d21
 1a3 1683
13fa  a57
1331 f450
  21 e978
ecca f433
ebe6  a30
fe3a 1678
1236  d37
14bf f75a
 36b e9c9
eec6 f172
ea9d  721
fadc 15f0
100e  fbb
15ca fa89
 6a1 ea7d
f112 ef17
e9dd  3f1
f7da 14f0
 dae 11e6
1674 fdb3
 9bf eba3
f3af ed19
e975   aa
f4d9 13a0
 af2 13b9
168a   fe
 c9a ed4e
f699 eb8c
e9a2 fd79
f216 11bb
 7dd 151c
1614  455
 f26 ef53
f9c1 ea5e
ea21 fa22
efa7  f94
 4ae 1610
153b  77e
117e f1c8
fcfc e9a6
eb5c f6fa
ed8a  ceb
 17f 1676
13f6  a73
1355 f477
  3c e983
ecdf f40f
ebea  a28
fe23 168b
1236  d64
14ec f76e
 37b e9c8
eed5 f174
ea9b  711
face 15ef
 ff5  fde
15d6 faa3
 6da ea79
f131 eefa
e9c5  3ce
f799 14fd
 d6e 121c
1677 fdf7
 9ef ebc5
f3db ed14
e992   94
f4c7 1375
 abf 13c6
1683  123
 cd5 ed6d
f6db eb74
e9ac fd1f
f1fc 1198
 7b6 1537
1605  47c
 f49 ef7d
f9dc ea59
ea35 f9f6
ef62  f68
 489 162c
1530  795
118f f1e0
fd1e e9a8
eb6e f6da
ed7a  ccf
 12e 1692
13d4  ab6
137b f4b1
  5e e98c
ecfe f3f2
ebbc  9dc
fddc 1673
121d  d87
14e4 f78f
 3bb e9c4
eef7 f14e
ea9c  6e8
faba 15f0
 ff9  ffb
15ed faa6
 6de ea7d
f13d eef0
e9ac  3af
f77e 14fd
 d80 1229
1674 fdf0
 9f6 ebb0
f402 ecec
e988   4e
f492 1361
 a9b 13df
1679  15d
 cd9 ed98
f6f0 eb6b
e9a6 fcfe
f1c4 119e
 787 1545
1612  4ac
 f7b efaa
f9ff ea3e
ea55 f9c5
ef43  f52
 457 1631
153e  7d3
11ac f1fb
fd47 e999
eb77 f69b
ed50  ca4
 114 1666
13ad  ac3
137d f4cf
  a0 e970
ed0b f3bc
eb9c  9dd
fddc 167e
1201  d96
14fb f7c3
 3ec e9d1
ef09 f111
ea7e  6c6
fa87 15e5
 fc9 1001
15df fad8
 704 ea8b
f166 eebb
e9b0  361
f73d 14bc
 d3d 122f
1677 fe1e
 a2d ebe5
f42f ecec
e99a   1e
f484 133e
 a7d 13f3
168d  17a
 cf4 ed91
f710 eb55
e9af fcd5
f19a 1170
 75d 155c
15fe  4dc
 f91 efb9
fa37 ea45
ea64 f9a7
ef50  f1a
 41f 162a
1510  7f9
11ba f21e
fd71 e99c
eb95 f68b
ed45  c6b
  e2 167d
13c1  af3
139a f4d6
  c3 e980
ed3e f38a
eb9b  97c
fd73 166f
11ec  dd2
151f f7dc
 414 e9dc
ef3e f0f4
ea6f  684
fa5c 15da
 fa8 1023
15e0 fb1e
 749 ead3
f1b8 eead
e9ab  343
f738 14c2
 d35 1259
168e fe52
 a6e ebe7
f464 eccb
e992 ffec
f42c 1338
 a38 1413
1674  1bd
 d21 edbb
f737 eb43
e9c2 fca8
f17c 113b
 72a 1552
15ee  4f8
 fa7 efd7
fa64 ea25
ea6a f948
ef06  ede
 3f0 1647
150a  827
11f6 f23e
fd9d e97f
eba6 f63f
ed31  c5a
  c7 1684
13a4  b1d
13bd f4fd
  f1 e97b
ed51 f37d
eb91  97a
fd5f 166d
11bb  e01
1537 f811
 432 e9e3
ef44 f0e1
ea60  660
fa23 15da
 f80 106d
160c fb55
 772 eac7
f1be ee91
e9b5  32a
f719 149c
 ced 1258
1682 fe8a
 a7a ec06
f47f eca2
e985 ffc6
f416 1317
 a1b 1414
1675  1da
 d45 ede1
f769 eb3b
e9cc fc84
f170 1103
 6e9 1555
15eb  51d
 fcc eff6
fa7e ea22
ea78 f945
ef23  ed0
 3e0 1633
1509  84d
11ff f266
fdcb e997
ebb7 f645
ed20  c4c
  89 168b
137f  b62
13e4 f545
 127 e972
ed54 f351
eb77  94d
fd2c 1655
118d  e2b
1553 f853
 482 e9d7
ef65 f0ac
ea5d  632
f9ff 15ac
 f50 1076
1612 fb70
 79d eaaf
f1cb ee5d
e99e  2fb
f6d7 14a3
 cd0 1296
1684 feb9
 aad ec29
f499 ec91
e976 ffa4
f3ef 1307
 a01 1439
167a  1f3
 d51 edde
f77e eb1e
e9bc fc58
f144 111c
 6f1 1570
15ef  532
 feb f007
fab1 ea19
ea9a f91c
ef05  eac
 3af 1622
14db  86c
1219 f2a4
fdfc e988
ebbe f607
ecdd  c12
  4e 1687
135f  b77
13e5 f56e
 159 e977
ed6b f335
eb84  927
fd15 1643
1191  e22
1526 f867
 4a6 e9fa
ef9a f085
ea48  5e7
f9cf 15af
 f53 109d
1618 fb9e
 7d4 eae2
f1f9 ee58
e9a1  2d0
f6b0 1498
 cb4 12ac
1680 fef0
 ac0 ec4c
f4cf ec95
e97a ff6d
f3d3 12e9
 9c7 1446
168f  228
 d90 edec
f7ac eb07
e9cc fc25
f12d 10e4
 6b0 1571
15da  580
100a f01e
fad5 ea11
ea96 f8f7
eed3  e92
 37b 1645
14f1  8b8
1256 f2b0
fe2b e96f
ebd3 f5d1
eccb  bf9
  38 1696
135b  b98
13eb f58d
 177 e985
ed86 f2f9
eb4b  8f6
fcd6 1656
1165  e52
1552 f8a9
 4e4 e9fd
efb5 f062
ea26  5de
f9b0 15ad
 f38 10b4
162c fbb7
 7ec eade
f222 ee30
e993  285
f693 147e
 c88 12c2
1685 ff09
 af1 ec4c
f4f7 ec4d
e984 ff2d
f382 12af
 97f 1472
1670  284
 dd3 ee23
f7fa ead5
e9c1 fbd6
f0e1 10da
 697 15a2
15da  59f
1038 f063
fb1c ea06
eaad f8a9
eea5  e60
 333 165d
14b7  8de
1251 f2f3
fe62 e992
ebf4 f598
eca3  b9d
ffd8 168f
133b  bd1
1405 f5b0
 1a3 e977
eda5 f2ce
eb35  8af
fc8a 164d
113e  e87
155d f8cf
 4f8 ea21
efe2 f054
ea33  58f
f95e 158d
 ee8 10ee
1626 fc0b
 829 eb07
f247 ee1a
e997  25b
f64e 1465
 c47 12e1
1672 ff64
 b36 ec85
f512 ec41
e979 feed
f35d 12b5
 95b 147e
1662  2a2
 de4 ee2f
f816 eae0
e9df fbc0
f0de 109c
 656 1589
15ad  5db
105a f085
fb4c e9f6
eab2 f886
ee76  e42
 300 1655
14a3  90b
1272 f301
fe7d e970
ec06 f57f
ec9f  b7e
ffcf 1683
1320  be6
1437 f5d9
 1d8 e980
edc0 f2be
eb12  8a7
fc6b 1650
1123  ea7
156b f8e4
 507 ea0a
efd3 f02e
ea17  580
f936 158c
 edd 10f1
161b fc2f
 841 eb1f
f263 ee05
e98a  240
f638 145e
 c2b 12f9
1683 ff87
 b54 ec7d
f535 ec2a
e97d feda
f34d 1290
 93c 148f
164b  2ce
 e12 ee74
f858 ead4
e9ed fb84
f0af 1072
 616 15ae
15bd  61f
1088 f0a6
fb6f e9e4
eac6 f868
ee79  e1f
